<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
INDEX.CSI300,D,20210224,190000,5591.4795,5598.6677,5379.8349,5437.5683,2285
INDEX.CSI300,D,20210225,190000,5494.4706,5527.5272,5444.1646,5469.5584,2978
INDEX.CSI300,D,20210226,190000,5343.9041,5415.9625,5318.9038,5336.7609,2555
INDEX.CSI300,D,20210301,190000,5389.2499,5421.399,5345.9449,5418.7837,2684
INDEX.CSI300,D,20210302,190000,5453.2847,5454.9687,5305.1924,5349.6301,2431
INDEX.CSI300,D,20210303,190000,5327.3467,5452.396,5316.4809,5452.2125,2624
INDEX.CSI300,D,20210304,190000,5388.4785,5392.3725,5254.881,5280.7058,2889
INDEX.CSI300,D,20210305,190000,5191.9699,5307.5389,5174.2458,5262.7958,2649
INDEX.CSI300,D,20210308,190000,5299.7907,5326.033,5079.7984,5080.0246,2660
INDEX.CSI300,D,20210309,190000,5066.1546,5094.2965,4917.909,4970.9994,2744
INDEX.CSI300,D,20210310,190000,5047.0589,5055.1054,4981.796,5003.6121,2828
INDEX.CSI300,D,20210311,190000,5024.5586,5138.1918,5020.7109,5128.2156,2610
INDEX.CSI300,D,20210312,190000,5153.674,5153.674,5086.9146,5146.3786,2408
INDEX.CSI300,D,20210315,190000,5116.1228,5120.5273,4992.4154,5035.5441,2617
INDEX.CSI300,D,20210316,190000,5054.4089,5084.0995,5010.4071,5079.3624,2383
INDEX.CSI300,D,20210317,190000,5062.7706,5123.5452,5020.1255,5100.8581,2571
INDEX.CSI300,D,20210318,190000,5114.5872,5160.3553,5111.1294,5141.7681,2442
INDEX.CSI300,D,20210319,190000,5068.5319,5089.7779,4980.85,5007.0907,2316
INDEX.CSI300,D,20210322,190000,5008.3953,5071.3378,4996.541,5057.152,2728
INDEX.CSI300,D,20210323,190000,5057.0632,5063.9892,4966.534,5009.2459,2612
INDEX.CSI300,D,20210324,190000,4985.4013,5024.3274,4919.8932,4928.6853,2880
INDEX.CSI300,D,20210325,190000,4904.0683,4950.7608,4883.6615,4926.3469,3016
INDEX.CSI300,D,20210326,190000,4953.9453,5050.5728,4953.9453,5037.9899,2793
INDEX.CSI300,D,20210329,190000,5052.2634,5086.3564,5010.4163,5046.8773,2430
INDEX.CSI300,D,20210330,190000,5043.0952,5105.7339,5032.9113,5094.7291,2660
INDEX.CSI300,D,20210331,190000,5085.9497,5085.9497,5015.607,5048.3607,2574
INDEX.CSI300,D,20210401,190000,5059.9359,5115.3358,5057.6834,5110.7768,2905
INDEX.CSI300,D,20210402,190000,5129.8545,5169.5814,5116.5164,5161.5569,2313
INDEX.CSI300,D,20210406,190000,5178.6401,5180.7039,5125.3358,5140.3418,2276
INDEX.CSI300,D,20210407,190000,5141.6556,5141.6556,5065.2451,5103.7428,2870
INDEX.CSI300,D,20210408,190000,5078.2627,5128.9431,5062.0725,5112.2086,2915
INDEX.CSI300,D,20210409,190000,5100.0422,5100.0422,5022.3861,5035.3374,2412
INDEX.CSI300,D,20210412,190000,5026.9791,5045.6018,4933.0426,4947.7459,2531
INDEX.CSI300,D,20210413,190000,4949.8074,4994.2783,4924.2559,4939.6438,2592
INDEX.CSI300,D,20210414,190000,4945.6857,4987.1191,4940.2686,4980.6279,2515
INDEX.CSI300,D,20210415,190000,4969.9099,4969.9099,4900.3494,4948.9741,2174
INDEX.CSI300,D,20210416,190000,4966.8999,4979.0907,4918.117,4966.1811,2268
INDEX.CSI300,D,20210419,190000,4966.409,5088.2067,4941.0492,5087.0165,2309
INDEX.CSI300,D,20210420,190000,5065.7757,5119.7308,5059.246,5083.3654,2763
INDEX.CSI300,D,20210421,190000,5055.2398,5110.3826,5048.1177,5098.7449,2750
INDEX.CSI300,D,20210422,190000,5114.2799,5118.9817,5067.2166,5089.2435,2921
INDEX.CSI300,D,20210423,190000,5088.8263,5149.9825,5086.7617,5135.4534,2855
INDEX.CSI300,D,20210426,190000,5156.5941,5181.1066,5073.0499,5077.2372,2851
INDEX.CSI300,D,20210427,190000,5076.6415,5095.9842,5042.6099,5090.5195,2801
INDEX.CSI300,D,20210428,190000,5073.9728,5119.2421,5059.4636,5119.2421,2311
INDEX.CSI300,D,20210429,190000,5128.2795,5170.4708,5113.6484,5164.1692,2581
INDEX.CSI300,D,20210430,190000,5156.3557,5162.9915,5094.9285,5123.489,2832
INDEX.CSI300,D,20210506,190000,5098.8006,5132.8216,5037.4083,5061.1244,2101
INDEX.CSI300,D,20210507,190000,5073.4554,5093.7471,4996.0527,4996.0527,2197
INDEX.CSI300,D,20210510,190000,5001.4371,5019.3055,4953.7171,4992.422,2816
INDEX.CSI300,D,20210511,190000,4956.0794,5033.4938,4925.9152,5023.0595,2733
INDEX.CSI300,D,20210512,190000,5003.8171,5051.1419,4995.5236,5044.5481,2432
INDEX.CSI300,D,20210513,190000,4992.3519,5022.0836,4975.4462,4992.9738,2617
INDEX.CSI300,D,20210514,190000,5007.6286,5112.832,4981.3924,5110.5901,2362
INDEX.CSI300,D,20210517,190000,5115.3063,5206.6947,5115.3063,5184.9853,1451
INDEX.CSI300,D,20210518,190000,5190.9345,5201.6721,5156.7924,5187.6013,2341
INDEX.CSI300,D,20210519,190000,5173.1666,5193.5574,5151.887,5172.272,2124
INDEX.CSI300,D,20210520,190000,5167.0546,5201.5911,5152.0846,5186.412,2156
INDEX.CSI300,D,20210521,190000,5199.1285,5216.1615,5123.1835,5134.1483,2608
INDEX.CSI300,D,20210524,190000,5138.8149,5155.5875,5092.7429,5155.5875,2761
INDEX.CSI300,D,20210525,190000,5165.0361,5324.2491,5161.6751,5318.478,2361
INDEX.CSI300,D,20210526,190000,5326.1169,5344.2309,5308.8511,5320.5927,2868
INDEX.CSI300,D,20210527,190000,5311.3726,5378.4764,5286.05,5338.2329,2324
INDEX.CSI300,D,20210528,190000,5338.7278,5360.2774,5288.6515,5321.0886,2665
INDEX.CSI300,D,20210531,190000,5318.0825,5331.6294,5281.6851,5331.5696,2377
INDEX.CSI300,D,20210601,190000,5320.4745,5343.7529,5269.259,5341.6798,2744
INDEX.CSI300,D,20210602,190000,5348.344,5352.1458,5266.8816,5289.9736,2610
INDEX.CSI300,D,20210603,190000,5285.7098,5314.3691,5255.1611,5255.2855,2306
INDEX.CSI300,D,20210604,190000,5228.2761,5334.4899,5221.2291,5282.2772,2832
INDEX.CSI300,D,20210607,190000,5284.8907,5286.4698,5243.0682,5277.6271,2381
INDEX.CSI300,D,20210608,190000,5276.9711,5319.0406,5201.1404,5232.1165,2958
INDEX.CSI300,D,20210609,190000,5224.9496,5253.1956,5215.6206,5236.4493,2507
INDEX.CSI300,D,20210610,190000,5236.4691,5299.5296,5229.5182,5271.4661,2500
INDEX.CSI300,D,20210611,190000,5275.7456,5276.1039,5213.6149,5224.703,2342
INDEX.CSI300,D,20210615,190000,5218.5648,5225.5021,5137.5295,5166.5597,2694
INDEX.CSI300,D,20210616,190000,5163.2493,5164.3478,5076.1635,5080.4909,2645
INDEX.CSI300,D,20210617,190000,5074.3839,5123.3651,5073.8211,5101.8924,2935
INDEX.CSI300,D,20210618,190000,5104.9297,5128.0309,5064.9208,5102.4657,2683
INDEX.CSI300,D,20210621,190000,5088.0893,5123.5791,5058.7652,5090.3854,2503
INDEX.CSI300,D,20210622,190000,5106.0743,5125.7997,5086.2984,5122.1583,2878
INDEX.CSI300,D,20210623,190000,5127.191,5171.033,5109.7571,5147.3938,2708
INDEX.CSI300,D,20210624,190000,5156.5638,5160.4346,5120.8256,5155.9738,2309
INDEX.CSI300,D,20210625,190000,5159.8017,5251.2661,5157.4758,5239.9684,3001
INDEX.CSI300,D,20210628,190000,5253.6081,5260.6372,5226.2201,5251.7604,2234
INDEX.CSI300,D,20210629,190000,5248.5249,5248.5249,5182.7958,5190.5445,2910
INDEX.CSI300,D,20210630,190000,5189.3797,5231.4262,5186.625,5224.041,2840
INDEX.CSI300,D,20210701,190000,5241.2039,5252.2316,5190.8762,5229.6642,2062
INDEX.CSI300,D,20210702,190000,5186.6613,5186.6613,5074.5165,5081.1172,1832
INDEX.CSI300,D,20210705,190000,5073.7787,5098.1823,5048.343,5085.7924,2042
INDEX.CSI300,D,20210706,190000,5089.778,5092.2066,5028.5275,5083.1043,2045
INDEX.CSI300,D,20210707,190000,5052.4204,5152.7453,5045.4889,5140.4899,1996
INDEX.CSI300,D,20210708,190000,5149.3095,5150.1406,5078.9295,5088.044,1833
INDEX.CSI300,D,20210709,190000,5063.148,5081.2629,5006.8366,5069.4361,1491
INDEX.CSI300,D,20210712,190000,5108.3783,5159.4115,5070.3188,5132.7088,2022
INDEX.CSI300,D,20210713,190000,5128.6138,5153.7415,5115.1017,5142.0991,1681
INDEX.CSI300,D,20210714,190000,5130.7522,5130.7522,5075.364,5083.0849,1833
INDEX.CSI300,D,20210715,190000,5073.2634,5153.3733,5067.6767,5151.4626,1938
INDEX.CSI300,D,20210716,190000,5140.904,5140.904,5090.7277,5094.7727,1479
INDEX.CSI300,D,20210719,190000,5083.7276,5120.4871,5047.6234,5113.4945,1935
INDEX.CSI300,D,20210720,190000,5080.2158,5112.5924,5068.0796,5108.9941,1567
